,Giornata,Status
0,1,Entrato
1,2,Entrato
2,3,Entrato
3,4,Entrato
4,5,Titolare
5,6,Entrato
6,7,Titolare
7,8,Entrato
8,9,Entrato
9,10,Titolare
10,11,Entrato
11,12,Titolare
12,13,Entrato
13,14,Entrato
14,15,Entrato
15,16,Titolare
16,17,Entrato
17,18,Entrato
18,19,Entrato
19,20,Titolare
20,21,Titolare
21,22,Entrato
22,23,Entrato
23,24,Entrato
24,25,Titolare
25,26,Entrato
26,27,Entrato
27,28,Entrato
28,29,Entrato
29,30,Titolare
30,31,Titolare
31,32,Entrato
32,33,Titolare
33,34,Entrato
34,35,Entrato
35,36,Entrato
36,37,Entrato
37,38,Entrato
